typ,u1_nr,u1_bezeichnung,u2_nr,u2_bezeichnung,u3_nr,u3_bezeichnung,ANS_PLJ,ANS_VJ,PLAN_FJ1,PLAN_FJ2,PLAN_FJ3,PLAN_FJ4,RE_VVJ,RE_VJ3,ROW_NR,ROW_TEXT,TXTSONST,TXTVZ,SUM_VE,PLAN_FJ5,VE_FJ1,VE_FJ2,VE_FJ3,VE_FJ4,VE_FJ5,ERM_VVJ,BER_GEL,BUD_BER,GES_E_A,GES_EA_GEN
ERGHHG,,Ergebnisplan,,,,,-21280799.0,-21466387.21,-21367163.0,-21417674.0,-21432902.0,0.0,-20876817.47,0.0,  16,Sonstige ordentliche Aufwendungen,,-,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,-238305880.4,-234535972.61,-241590575.8,-245950606.48,-248278425.53,0.0,-238118966.78,0.0,  17,Ordentliche Aufwendungen,,=,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,-4993108.0,-12805059.92,4438965.27,7604143.25,12208495.48,0.0,-25532700.97,0.0,  18,Ordentliches Ergebnis (Zeilen 10 und 17),(Zeilen 10 und 17),=,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,1293273.0,2621386.0,1876822.0,2382165.0,2410199.0,0.0,1880355.22,0.0,  19,Finanzertr�ge,,+,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,-16860967.0,-17267523.0,-17385709.0,-17971303.0,-18394906.0,0.0,-16530269.15,0.0,  20,Zinsen und sonstige Finanzaufwendungen,,-,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,-15567694.0,-14646137.0,-15508887.0,-15589138.0,-15984707.0,0.0,-14649913.93,0.0,  21,Finanzergebnis (Zeilen 19 und 20),(Zeilen 19 und 20),=,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,-20560802.0,-27451196.92,-11069921.73,-7984994.75,-3776211.52,0.0,-40182614.9,0.0,  22,Ergebnis der laufenden Verwaltungst�tigkeit (Zeilen 18 und 21),(Zeilen 18 und 21),=,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  23,Au�erordentliche Ertr�ge,,+,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  24,Au�erordentliche Aufwendungen,,-,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  25,Au�erordentliches Ergebnis (Zeilen 23 und 24),(Zeilen 23 und 24),=,,,,,,,,,,,,
ERGHHG,,Ergebnisplan,,,,,-20560802.0,-27451196.92,-11069921.73,-7984994.75,-3776211.52,0.0,-40182614.9,0.0,  26,Jahresergebnis (Zeilen 22 und 25),(Zeilen 22 und 25),=,,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,109967303.0,100861304.0,114743897.0,119290437.0,123686657.0,0.0,96315407.27,0.0,   1,Steuern und �hnliche Abgaben,,,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,60436508.33,60109576.55,67795313.38,70149885.51,72491382.08,0.0,49439681.4,0.0,   2,Zuwendungen und allgemeine Umlage,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,1369535.0,1324506.0,1416091.0,1464232.0,1514005.0,0.0,1161369.26,0.0,   3,Sonstige Transfereinzahlungen,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,31469599.12,30466790.83,31966102.26,32630890.03,32893150.52,0.0,22612305.45,0.0,   4,�ffentlich-rechtliche Leistungsentgelte,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,2216013.14,2345585.29,2261561.08,2292866.29,2329105.43,0.0,2077169.87,0.0,   5,Privatrechtliche Leistungsentgelte,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,6039294.0,5913975.0,6091419.0,6101869.0,6071672.0,0.0,3576445.1,0.0,   6,Kostenerstattungen und Kostenumlagen,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,10182101.0,10175394.0,10386120.0,10497526.0,10618700.0,0.0,7109012.0,0.0,   7,Sonstige Einzahlungen,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,1303033.0,2671906.0,1879742.0,2385925.0,2413039.0,0.0,1602669.0,0.0,   8,Zinsen und sonstige Finanzeinzahlungen,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,222983386.59,213869037.67,236540245.72,244813630.83,252017711.03,0.0,183894059.35,0.0,   9,Einzahlungen aus laufender Verwaltungst�tigkeit,,=,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-35847261.84,-36607767.05,-36612875.12,-37138146.49,-37215859.52,0.0,-38465051.47,0.0,  10,Personalauszahlungen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-5274627.05,-4949610.25,-5333890.19,-5393845.16,-1363024.13,0.0,-5622613.98,0.0,  11,Versorgungsauszahlungen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-37286855.0,-39063375.0,-37261630.0,-37852363.0,-37413287.0,0.0,-35960765.0,0.0,  12,Auszahlungen f�r Sach- und Dienstleistungen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-16913844.0,-17371240.0,-17421267.0,-17996801.0,-18408141.0,0.0,-16598443.18,0.0,  13,Zinsen und sonstige Finanzauszahlungen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-102177634.0,-95699892.0,-105284811.0,-108694417.0,-111456208.0,0.0,-92670197.45,0.0,  14,Transferauszahlungen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-21728863.64,-21803325.29,-21804656.25,-21848084.25,-21854182.19,0.0,-21290647.11,0.0,  15,Sonstige Auszahlungen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-219229085.53,-215495209.59,-223719129.56,-228923656.9,-227710701.84,0.0,-210607718.19,0.0,  16,Auszahlungen aus laufender Verwaltungst�tigkeit,,=,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,3754301.06,-1626171.92,12821116.16,15889973.93,24307009.19,0.0,-26713658.84,0.0,  17,Saldo aus laufender Verwaltungst�tigkeit (= Zeilen 9 und 16),(= Zeilen 9 und 16),=,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,7412799.0,9634500.0,7025899.0,10494099.0,8534499.0,0.0,16619709.39,0.0,  18,Zuwendungen f�r Investitionsma�nahmen,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,5069000.0,5869000.0,900000.0,100000.0,100000.0,0.0,1046820.47,0.0,  19,Einzahlungen aus der Ver�u�erung von Sachanlagen,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  20,Einzahlungen aus der Ver�u�erung von Finanzanlagen,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,2798000.0,411833.0,950000.0,95000.0,130000.0,0.0,846761.0,0.0,  21,Einzahlungen aus Beitr�gen und �hnlichen Entgelten,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,19162.0,0.0,18217.0,17893.0,18106.0,0.0,17872.04,0.0,  22,Sonstige Investitionseinzahlungen,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,15298961.0,15915333.0,8894116.0,10706992.0,8782605.0,0.0,18531162.9,0.0,  23,Einzahlungen aus Investitionst�tigkeit,,=,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-152000.0,-150000.0,-155000.0,-157000.0,-162250.0,0.0,-212727.61,0.0,  24,Auszahlungen f�r Erwerb von Grundst�cken und Geb�uden,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-21182438.0,-31688357.0,-30089266.0,-25227600.0,-20388000.0,0.0,-29906422.5,0.0,  25,Auszahlungen f�r Bauma�nahmen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-2839998.5,-4047809.0,-2172526.0,-1785646.0,-1664814.0,0.0,-1716041.51,0.0,  26,Auszahlungen f�r den Erwerb von beweglichem Anlageverm�gen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  27,Auszahlungen f�r den Erwerb von Finanzanlagen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-36000.0,0.0,0.0,0.0,0.0,0.0,-26736.01,0.0,  28,Auszahlungen von aktivierbaren Zuwendungen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  29,Sonstige Investitionsauszahlungen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-24210436.5,-35886166.0,-32416792.0,-27170246.0,-22215064.0,0.0,-31861927.63,0.0,  30,Auszahlungen aus Investitionst�tigkeit,,=,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-8911475.5,-19970833.0,-23522676.0,-16463254.0,-13432459.0,0.0,-13330764.73,0.0,  31,Saldo aus Investitionst�tigkeit (= Zeilen 23 und 30),(= Zeilen 23 und 30),=,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-5157174.44,-21597004.92,-10701559.84,-573280.07,10874550.19,0.0,-40044423.57,0.0,  32,Finanzmittel�berschuss/-fehlbetrag (= Zeilen 17 und 31),(= Zeilen 17 und 31),=,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,28875290.0,36781846.0,25864184.0,31985572.0,19538043.0,0.0,1464748778.63,0.0,  33,Aufnahme und R�ckfl�sse von Darlehen,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-36215351.0,-39662676.0,-23469761.0,-38506814.0,-29351926.0,0.0,-1434827699.6,0.0,  34,Tilgung und Gew�hrung von Darlehen,,-,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-7340061.0,-2880830.0,2394423.0,-6521242.0,-9813883.0,0.0,29921079.03,0.0,  35,Saldo aus Finanzierungst�tigkeit,,=,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-12497235.44,-24477834.92,-8307136.84,-7094522.07,1060667.19,0.0,-10123344.54,0.0,  36,�nderung des Bestandes an eigenen Finanzmitteln (= Zeilen 32 und 35),(= Zeilen 32 und 35),=,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  37,Anfangsbestand an Finanzmitteln,,+,0.0,,,,,,,,,,,
FINHHG,,Finanzplan,,,,,-12497235.44,-24477834.92,-8307136.84,-7094522.07,1060667.19,0.0,-10123344.54,0.0,  38,Liquide Mittel (= Zeilen 36 und 37),(= Zeilen 36 und 37),=,0.0,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   1,Steuern und �hnliche Abgaben,,,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,951067.75,249782.33,941167.68,922526.13,913787.19,0.0,238265.84,0.0,   2,Zuwendungen und allgemeine Umlagen,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   3,Sonstige Transferertr�ge,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,32481.0,31710.0,33279.0,34104.0,34958.0,0.0,26199.21,0.0,   4,�ffentlich-rechtliche Leistungsentgelte,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,778356.0,748060.0,844163.0,864644.0,885821.0,0.0,656475.09,0.0,   5,Privatrechtliche Leistungsentgelte,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,4262680.0,4277391.0,4246915.0,4230037.0,4211985.0,0.0,2189097.94,0.0,   6,Kostenerstattungen und Kostenumlagen,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,847133.0,459645.0,858746.0,870753.0,883167.0,0.0,1856376.99,0.0,   7,Sonstige ordentliche Ertr�ge,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   8,Aktivierte Eigenleistungen,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   9,Bestandsver�nderungen,,+/-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,6871717.75,5766588.33,6924270.68,6922064.13,6929718.19,0.0,4966415.07,0.0,  10,Ordentliche Ertr�ge,,=,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-9573202.53,-10079910.41,-9794252.51,-9941001.03,-10051875.72,0.0,-9841289.24,0.0,  11,Personalaufwendungen,,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-2137600.07,-1797304.04,-2169664.59,-2202209.51,-2235242.75,0.0,-2141613.84,0.0,  12,Versorgungsaufwendungen,,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-2647791.08,-3474612.0,-2676110.0,-2706359.0,-2737201.0,0.0,-1898871.95,0.0,  13,Aufwendungen f�r Sach- und Dienstleistungen,,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-2641682.65,-1449646.26,-2627597.91,-2597129.99,-2583173.89,0.0,-1425635.58,0.0,  14,Bilanzielle Abschreibungen,,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  15,Transferaufwendungen,,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-5339956.0,-5435492.2,-5373956.0,-5398008.0,-5443322.0,0.0,-5481640.69,0.0,  16,Sonstige ordentliche Aufwendungen,,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-22340232.33,-22236964.91,-22641581.01,-22844707.53,-23050815.36,0.0,-20789051.3,0.0,  17,Ordentliche Aufwendungen,,=,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-15468514.58,-16470376.58,-15717310.33,-15922643.4,-16121097.17,0.0,-15822636.23,0.0,  18,Ordentliches Ergebnis (= Zeilen 10 und 17),(= Zeilen 10 und 17),=,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,123.0,128.0,121.0,124.0,128.0,0.0,208.73,0.0,  19,Finanzertr�ge,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-25200.0,-25200.0,-25200.0,-25200.0,-25200.0,0.0,-16134.13,0.0,  20,Zinsen und sonstige Finanzaufwendungen,,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-25077.0,-25072.0,-25079.0,-25076.0,-25072.0,0.0,-15925.4,0.0,  21,Finanzergebnis (= Zeilen 19 und 20),(= Zeilen 19 und 20),=,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-15493591.58,-16495448.58,-15742389.33,-15947719.4,-16146169.17,0.0,-15838561.63,0.0,  22,Ergebnis der laufenden Verwaltungst�tigkeit (= Zeilen 18 und 21),(= Zeilen 18 und 21),=,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  23,Au�erordentliche Ertr�ge,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  24,Au�erordentliche Aufwendungen,,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  25,Au�erordentliches Ergebnis (= Zeilen 23 und 24),(= Zeilen 23 und 24),=,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-15493591.58,-16495448.58,-15742389.33,-15947719.4,-16146169.17,0.0,-15838561.63,0.0,  26,Ergebnis - vor Ber�cksichtigung der internen Leistungsbeziehungen - (= Zeilen 22 und 25),(= Zeilen 22 und 25),=,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,577163.0,703793.0,578463.0,579663.0,574663.0,0.0,684799.0,0.0,  27,Ertr�ge aus internen Leistungsbeziehungen (48er),,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  28,Ertr�ge aus internen Leistungsbeziehungen (9er),,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,577163.0,703793.0,578463.0,579663.0,574663.0,0.0,684799.0,0.0,  29,"Ergebnis (= Zeilen 27, 28)","(= Zeilen 27, 28)",=,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  30,Aufwendungen aus internen Leistungsbeziehungen (58er),,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  31,Aufwendungen aus internen Leistungsbeziehungen (9er),,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  32,"Ergebnis (= Zeilen 30, 31)","(= Zeilen 30, 31)",=,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,,,,,-14916428.58,-15791655.58,-15163926.33,-15368056.4,-15571506.17,0.0,-15153762.63,0.0,  33,"Ergebnis (= Zeilen 26, 29, 32)","(= Zeilen 26, 29, 32)",=,,,,,,,,,,,,
FINHHT,01,Innere Verwaltung,,,,,5600.0,5600.0,5600.0,5600.0,5600.0,0.0,4891.56,0.0,   1,Einzahlungen aus Zuwendungen f�r Investitionsma�nahmen,,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,5069000.0,5869000.0,900000.0,100000.0,100000.0,0.0,777042.25,0.0,   2,Einzahlungen aus der Ver�u�erung von Sachanlagen,,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   3,Einzahlungen aus der Ver�u�erung von Finanzanlagen,,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   4,Einzahlungen aus Beitr�gen und �hnlichen Entgelten,,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   5,Sonstige Investitionseinzahlungen,,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,5074600.0,5874600.0,905600.0,105600.0,105600.0,0.0,781933.81,0.0,   6,Summe (investive Einzahlungen),,=,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,-82000.0,-82000.0,-84000.0,-84000.0,-85700.0,0.0,-147881.29,0.0,   7,Auszahlungen f�r den Erwerb von Grundst�cken und Geb�uden,,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   8,Auszahlungen f�r Bauma�nahmen,,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,-113713.0,-132152.0,-103800.0,-62100.0,-65850.0,0.0,-81658.66,0.0,   9,Auszahlungen f�r den Erwerb von beweglichen Anlageverm�gen,,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  10,Auszahlungen f�r den Erwerb von Finanzanlagen,,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  11,Auszahlungen von aktivierbaren Zuwendungen,,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  12,Sonstige Investitionsauszahlungen,,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,-195713.0,-214152.0,-187800.0,-146100.0,-151550.0,0.0,-229539.95,0.0,  13,Summe (investive Auszahlungen),,=,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
FINHHT,01,Innere Verwaltung,,,,,4878887.0,5660448.0,717800.0,-40500.0,-45950.0,0.0,552393.86,0.0,  14,Saldo der Investitionst�tigkeit (Einzahlungen ./. Auszahlungen),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   1,Steuern und �hnliche Abgaben,,,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   2,Zuwendungen und allgemeine Umlagen,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   3,Sonstige Transferertr�ge,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   4,�ffentlich-rechtliche Leistungsentgelte,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,60.0,58.0,62.0,64.0,66.0,0.0,0.0,0.0,   5,Privatrechtliche Leistungsentgelte,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,10674.0,10674.0,10674.0,10674.0,10674.0,0.0,13031.49,0.0,   6,Kostenerstattungen und Kostenumlagen,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   7,Sonstige ordentliche Ertr�ge,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   8,Aktivierte Eigenleistungen,,+,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,   9,Bestandsver�nderungen,,+/-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,10734.0,10732.0,10736.0,10738.0,10740.0,0.0,13031.49,0.0,  10,Ordentliche Ertr�ge,,=,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,-140767.27,-140372.82,-143657.28,-145812.11,-147400.11,0.0,-157268.15,0.0,  11,Personalaufwendungen,,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,-9838.14,-8007.49,-9985.72,-10135.5,-10287.54,0.0,-25264.42,0.0,  12,Versorgungsaufwendungen,,-,,,,,,,,,,,,
ERGHHT,01,Innere Verwaltung,0101,Verwaltungssteuerung und Service,010101,Politische Gremien,-9123.0,-12725.0,-9161.0,-9199.0,-9237.0,0.0,-47647.44,0.0,  13,Aufwendungen f�r Sach- und Dienstleistungen,,-,,,,,,,,,,,,
